St  Name                           Version                        Arch   Description                                                  Licenses
ii  libcusparse-dev-12-6           12.5.4.2-1                     amd64  CUSPARSE native dev links, headers                           "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libcusparselt-dev              0.6.2.3-1                      amd64  CUSPARSE Lt native dev links, headers                        unknown
ii  libcusparselt0                 0.6.2.3-1                      amd64  CUSPARSE Lt native runtime libraries                         unknown
ii  libcutensor-dev                2.0.2.5-1                      amd64  cuTensor native dev links, headers                           unknown
ii  libcutensor2                   2.0.2.5-1                      amd64  cuTensor native runtime libraries                            unknown
ii  libdatrie1:amd64               0.2.13-2                       amd64  Double-array trie library                                    GPL-2+ LGPL-2.1+
ii  libdav1d5:amd64                0.9.2-1                        amd64  fast and small AV1 video stream decoder (shared library)     BSD-2-clause ISC public-domain
ii  libdb5.3:amd64                 5.3.28+dfsg1-0.8ubuntu3        amd64  Berkeley v5.3 Database Libraries [runtime]                   unknown
ii  libdbus-1-3:amd64              1.12.20-2ubuntu4.1             amd64  simple interprocess messaging system (library)               AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive
ii  libdc1394-25:amd64             2.2.6-4                        amd64  high level programming interface for IEEE 1394 digital camer GPL-2 LGPL-2.1
ii  libdebconfclient0:amd64        0.261ubuntu1                   amd64  Debian Configuration Management System (C-implementation lib public domain
ii  libdebuginfod-common           0.186-1build1                  all    configuration to enable the Debian debug info server         GPL-2 GPL-3 LGPL-3
ii  libdebuginfod1:amd64           0.186-1build1                  amd64  library to interact with debuginfod (development files)      GPL-2 GPL-3 LGPL-3
ii  libdecor-0-0:amd64             0.1.0-3build1                  amd64  client-side window decoration library                        Expat GPL-3.0+
ii  libdeflate0:amd64              1.10-2                         amd64  fast, whole-buffer DEFLATE-based compression and decompressi Expat
ii  libdpkg-perl                   1.21.1ubuntu2.3                all    Dpkg perl modules                                            BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  libdrm-amdgpu1:amd64           2.4.113-2~ubuntu0.22.04.1      amd64  Userspace interface to amdgpu-specific kernel DRM services - unknown
ii  libdrm-common                  2.4.113-2~ubuntu0.22.04.1      all    Userspace interface to kernel DRM services -- common files   unknown
ii  libdrm-intel1:amd64            2.4.113-2~ubuntu0.22.04.1      amd64  Userspace interface to intel-specific kernel DRM services -- unknown
ii  libdrm-nouveau2:amd64          2.4.113-2~ubuntu0.22.04.1      amd64  Userspace interface to nouveau-specific kernel DRM services  unknown
ii  libdrm-radeon1:amd64           2.4.113-2~ubuntu0.22.04.1      amd64  Userspace interface to radeon-specific kernel DRM services - unknown
ii  libdrm2:amd64                  2.4.113-2~ubuntu0.22.04.1      amd64  Userspace interface to kernel DRM services -- runtime        unknown
ii  libdw1:amd64                   0.186-1build1                  amd64  library that provides access to the DWARF debug information  GPL-2 GPL-3 LGPL-3
ii  libedit-dev:amd64              3.1-20210910-1build1           amd64  BSD editline and history libraries (development files)       BSD-3-clause
ii  libedit2:amd64                 3.1-20210910-1build1           amd64  BSD editline and history libraries                           BSD-3-clause
ii  libelf1:amd64                  0.186-1build1                  amd64  library to read and write ELF files                          GPL-2 GPL-3 LGPL-3
ii  liberror-perl                  0.17029-1                      all    Perl module for error/exception handling in an OO-ish way    Artistic Artistic or GPL-1+ GPL-1+ MIT/X11
ii  libexpat1:amd64                2.4.7-1ubuntu0.4               amd64  XML parsing C library - runtime library                      MIT
ii  libexpat1-dev:amd64            2.4.7-1ubuntu0.4               amd64  XML parsing C library - development kit                      MIT
ii  libext2fs2:amd64               1.46.5-2ubuntu1.2              amd64  ext2/ext3/ext4 file system libraries                         GPL-2 LGPL-2
ii  libffi-dev:amd64               3.4.2-4                        amd64  Foreign Function Interface library (development files)       GPL
ii  libffi8:amd64                  3.4.2-4                        amd64  Foreign Function Interface library runtime                   GPL
ii  libfido2-1:amd64               1.10.0-1                       amd64  library for generating and verifying FIDO 2.0 objects        BSD-2-clause ISC public-domain
ii  libflac8:amd64                 1.3.3-2ubuntu0.2               amd64  Free Lossless Audio Codec - runtime C library                BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflite1:amd64                2.2-3                          amd64  Small run-time speech synthesis engine - shared libraries    GPL-2 GPL-3
ii  libfontconfig1:amd64           2.13.1-4.2ubuntu5              amd64  generic font configuration library - runtime                 unknown
ii  libfreetype6:amd64             2.11.1+dfsg-1ubuntu0.2         amd64  FreeType 2 font engine, shared library files                 BSD-3-Clause BSL-1.0 FSFAP FTL GPL-2+ GPL-3+ MIT OpenGroup-BSD-like Public-Domain Zlib
ii  libfribidi0:amd64              1.0.8-2ubuntu3.1               amd64  Free Implementation of the Unicode BiDi algorithm            LGPL-2.1+
ii  libgbm1:amd64                  23.2.1-1ubuntu3.1~22.04.3      amd64  generic buffer management API -- runtime                     Apache-2.0 BSD-2-clause BSD-3-google BSL GPL GPL-1+ GPL-2 GPL-2 or MIT Khronos MIT MLAA SGI
ii  libgcc-11-dev:amd64            11.4.0-1ubuntu1~22.04          amd64  GCC support library (development files)                      Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libgcc-s1:amd64                12.3.0-1ubuntu1~22.04          amd64  GCC support library                                          Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libgcrypt20:amd64              1.9.4-3ubuntu3                 amd64  LGPL Crypto library - runtime library                        GPL-2 LGPL
ii  libgdbm-compat4:amd64          1.23-1                         amd64  GNU dbm database routines (legacy support runtime version)   GFDL-NIV-1.3+ GPL-2+ GPL-3+
ii  libgdbm6:amd64                 1.23-1                         amd64  GNU dbm database routines (runtime version)                  GFDL-NIV-1.3+ GPL-2+ GPL-3+
ii  libgdk-pixbuf-2.0-0:amd64      2.42.8+dfsg-1ubuntu0.3         amd64  GDK Pixbuf library                                           CC0-1.0 GPL-2+ LGPL-2+ LGPL-2.1+
ii  libgdk-pixbuf2.0-common        2.42.8+dfsg-1ubuntu0.3         all    GDK Pixbuf library - data files                              CC0-1.0 GPL-2+ LGPL-2+ LGPL-2.1+
ii  libgdrapi:amd64                2.3.1                          amd64  A low-latency GPU memory copy library                        MIT
ii  libgflags-dev                  2.2.2-2                        amd64  commandline flags module for C++ (development files)         BSD-3-Clause
ii  libgflags2.2                   2.2.2-2                        amd64  commandline flags module for C++ (shared library)            BSD-3-Clause
ii  libgfortran-11-dev:amd64       11.4.0-1ubuntu1~22.04          amd64  Runtime library for GNU Fortran applications (development fi Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libgfortran5:amd64             12.3.0-1ubuntu1~22.04          amd64  Runtime library for GNU Fortran applications                 Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libgl1:amd64                   1.4.0-1                        amd64  Vendor neutral GL dispatch library -- legacy GL support      	Apache-2.0 	BSD-1-clause 	GPL 	GPL-3+ 	MIT 	public-domain Apache-2.0 BSD-1-clause GPL GPL-3+ MIT
ii  libgl1-mesa-dri:amd64          23.2.1-1ubuntu3.1~22.04.3      amd64  free implementation of the OpenGL API -- DRI modules         Apache-2.0 BSD-2-clause BSD-3-google BSL GPL GPL-1+ GPL-2 GPL-2 or MIT Khronos MIT MLAA SGI
ii  libglapi-mesa:amd64            23.2.1-1ubuntu3.1~22.04.3      amd64  free implementation of the GL API -- shared library          Apache-2.0 BSD-2-clause BSD-3-google BSL GPL GPL-1+ GPL-2 GPL-2 or MIT Khronos MIT MLAA SGI
ii  libglib2.0-0:amd64             2.72.4-0ubuntu2.3              amd64  GLib library of C routines                                   LGPL
ii  libglvnd0:amd64                1.4.0-1                        amd64  Vendor neutral GL dispatch library                           	Apache-2.0 	BSD-1-clause 	GPL 	GPL-3+ 	MIT 	public-domain Apache-2.0 BSD-1-clause GPL GPL-3+ MIT
ii  libglx-mesa0:amd64             23.2.1-1ubuntu3.1~22.04.3      amd64  free implementation of the OpenGL API -- GLX vendor library  Apache-2.0 BSD-2-clause BSD-3-google BSL GPL GPL-1+ GPL-2 GPL-2 or MIT Khronos MIT MLAA SGI
ii  libglx0:amd64                  1.4.0-1                        amd64  Vendor neutral GL dispatch library -- GLX support            	Apache-2.0 	BSD-1-clause 	GPL 	GPL-3+ 	MIT 	public-domain Apache-2.0 BSD-1-clause GPL GPL-3+ MIT
ii  libgme0:amd64                  0.6.3-2                        amd64  Playback library for video game music files - shared library LGPL-2.1
ii  libgmp10:amd64                 2:6.2.1+dfsg-3ubuntu1          amd64  Multiprecision arithmetic library                            GPL GPL-2 GPL-3 LGPL-3
ii  libgnutls30:amd64              3.7.3-4ubuntu1.5               amd64  GNU TLS library - main runtime library                       Apache-2.0 GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  libgomp1:amd64                 12.3.0-1ubuntu1~22.04          amd64  GCC OpenMP (GOMP) support library                            Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libgoogle-glog-dev             0.5.0+really0.4.0-2            amd64  library that implements application-level logging.           BSD-3-Clause
ii  libgoogle-glog0v5              0.5.0+really0.4.0-2            amd64  library that implements application-level logging.           BSD-3-Clause
ii  libgpg-error0:amd64            1.43-3                         amd64  GnuPG development runtime library                            BSD-3-clause GPL-3+ LGPL-2.1+ LGPL-2.1+ or BSD-3-clause g10-permissive
ii  libgpm2:amd64                  1.20.7-10build1                amd64  General Purpose Mouse - shared library                       GPL-2.0+ GPL-3.0+
ii  libgraphite2-3:amd64           1.3.14-1build2                 amd64  Font rendering engine for Complex Scripts -- library         Artistic Artistic or GPL-1+ GPL-1+ GPL-2+ LGPL-2.1+ LGPL-2.1+ or GPL-2+ or MPL-1.1 LGPL-2.1+ or MPL-1.1 or GPL-2+ MPL-1.1 custom-sil-open-font-license public-domain
ii  libgsm1:amd64                  1.0.19-1                       amd64  Shared libraries for GSM speech compressor                   TU-Berlin-2.0
ii  libgssapi-krb5-2:amd64         1.19.2-2ubuntu0.4              amd64  MIT Kerberos runtime libraries - krb5 GSS-API Mechanism      GPL-2
ii  libharfbuzz0b:amd64            2.7.4-1ubuntu3.1               amd64  OpenType text shaping engine (shared library)                MIT
ii  libhdf5-103:amd64              1.10.7+repack-4ubuntu2         amd64  HDF5 C runtime files - serial version (transitional package) BSD-3-clause GPL-2+
ii  libhdf5-103-1:amd64            1.10.7+repack-4ubuntu2         amd64  HDF5 C runtime files - serial version                        BSD-3-clause GPL-2+
ii  libhdf5-cpp-103-1:amd64        1.10.7+repack-4ubuntu2         amd64  HDF5 - C++ runtime files - serial version                    BSD-3-clause GPL-2+
ii  libhdf5-dev                    1.10.7+repack-4ubuntu2         amd64  HDF5 - development files - serial version                    BSD-3-clause GPL-2+
ii  libhdf5-fortran-102:amd64      1.10.7+repack-4ubuntu2         amd64  HDF5 Fortran runtime files - serial version                  BSD-3-clause GPL-2+
ii  libhdf5-hl-100:amd64           1.10.7+repack-4ubuntu2         amd64  HDF5 High Level runtime files - serial version               BSD-3-clause GPL-2+
ii  libhdf5-hl-cpp-100:amd64       1.10.7+repack-4ubuntu2         amd64  HDF5 High Level C++ runtime files - serial version           BSD-3-clause GPL-2+
ii  libhdf5-hl-fortran-100:amd64   1.10.7+repack-4ubuntu2         amd64  HDF5 High Level Fortran runtime files - serial version       BSD-3-clause GPL-2+
ii  libhiredis0.14:amd64           0.14.1-2                       amd64  minimalistic C client library for Redis                      BSD-3-Clause
ii  libhogweed6:amd64              3.7.3-1build2                  amd64  low level cryptographic library (public-key cryptos)         Expat GAP GPL-2 GPL-2+ GPL-3+ GPL-3+ with Autoconf exception LGPL-2+ LGPL-3+ LGPL-3+ or GPL-2+ public-domain
ii  libibumad-dev:amd64            39.0-1                         amd64  Development files for libibumad                              BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  libibumad3:amd64               39.0-1                         amd64  InfiniBand Userspace Management Datagram (uMAD) library      BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  libibverbs-dev:amd64           39.0-1                         amd64  Development files for the libibverbs library                 BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  libibverbs1:amd64              39.0-1                         amd64  Library for direct userspace use of RDMA (InfiniBand/iWARP)  BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  libicu70:amd64                 70.1-2                         amd64  International Components for Unicode                         GPL-3 MIT
ii  libidn2-0:amd64                2.3.2-2build1                  amd64  Internationalized domain names (IDNA2008/TR46) library       GPL-2+ GPL-3+ LGPL-3+ LGPL-3+ or GPL-2+ Unicode
ii  libiec61883-0:amd64            1.2.0-4build3                  amd64  partial implementation of IEC 61883 (shared lib)             LGPL-2.1
ii  libipt2                        2.0.5-1                        amd64  Intel Processor Trace Decoder Library                        Expat
ii  libisl23:amd64                 0.24-2build1                   amd64  manipulating sets and relations of integer points bounded by BSD-2-clause LGPL-2.1+ MIT
ii  libitm1:amd64                  12.3.0-1ubuntu1~22.04          amd64  GNU Transactional Memory Library                             Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libjack-jackd2-0:amd64         1.9.20~dfsg-1                  amd64  JACK Audio Connection Kit (libraries)                        BSD-2-clause BSD-3-clause Expat GPL-2 GPL-2+ GPL-2~either GPL-2~or GPL-3+ LGPL-2+ LGPL-2.1+ public-domain~Kroon
ii  libjbig0:amd64                 2.1-3.1ubuntu0.22.04.1         amd64  JBIGkit libraries                                            GPL-2+
ii  libjpeg-dev:amd64              8c-2ubuntu10                   amd64  Independent JPEG Group's JPEG runtime library (dependency pa LGPL-2.1
ii  libjpeg-turbo8:amd64           2.1.2-0ubuntu1                 amd64  IJG JPEG compliant runtime library.                          LGPL-2.1
ii  libjpeg-turbo8-dev:amd64       2.1.2-0ubuntu1                 amd64  Development files for the IJG JPEG library                   LGPL-2.1
ii  libjpeg8:amd64                 8c-2ubuntu10                   amd64  Independent JPEG Group's JPEG runtime library (dependency pa LGPL-2.1
ii  libjpeg8-dev:amd64             8c-2ubuntu10                   amd64  Independent JPEG Group's JPEG runtime library (dependency pa LGPL-2.1
ii  libjq1:amd64                   1.6-2.1ubuntu3                 amd64  lightweight and flexible command-line JSON processor - share CC-BY-3.0 Expat GPL-2.0+ MIT
ii  libjs-jquery                   3.6.0+dfsg+~3.5.13-1           all    JavaScript library for dynamic web applications              Expat
ii  libjs-sphinxdoc                4.3.2-1                        all    JavaScript support for Sphinx documentation                  BSD-2-clause BSD-3-clause Expat PSF-2 public-domain
ii  libjs-underscore               1.13.2~dfsg-2                  all    JavaScript's functional programming helper library           BSD-3-clause Expat GPL-3+
ii  libk5crypto3:amd64             1.19.2-2ubuntu0.4              amd64  MIT Kerberos runtime libraries - Crypto Library              GPL-2
ii  libkeyutils1:amd64             1.6.1-2ubuntu3                 amd64  Linux Key Management Utilities (library)                     GPL-2+ LGPL-2+
ii  libkrb5-3:amd64                1.19.2-2ubuntu0.4              amd64  MIT Kerberos runtime libraries                               GPL-2
ii  libkrb5support0:amd64          1.19.2-2ubuntu0.4              amd64  MIT Kerberos runtime libraries - Support library             GPL-2
ii  libksba8:amd64                 1.6.0-2ubuntu0.2               amd64  X.509 and CMS support library                                GPL-3
ii  libldap-2.5-0:amd64            2.5.18+dfsg-0ubuntu0.22.04.2   amd64  OpenLDAP libraries                                           unknown
ii  libleveldb-dev:amd64           1.23-3build1                   amd64  fast key-value storage library (development files)           BSD-3-clause
ii  libleveldb1d:amd64             1.23-3build1                   amd64  fast key-value storage library                               BSD-3-clause
ii  liblilv-0-0:amd64              0.24.12-2                      amd64  library for simple use of LV2 plugins                        BSD-3-clause ISC
ii  libllvm15:amd64                1:15.0.7-0ubuntu0.22.04.3      amd64  Modular compiler and toolchain technologies, runtime library APACHE-2-LLVM-EXCEPTIONS BSD-3-Clause BSD-3-clause MIT Python solar-public-domain
ii  liblmdb-dev:amd64              0.9.24-1build2                 amd64  Lightning Memory-Mapped Database development files           OpenLDAP-2.8
ii  liblmdb0:amd64                 0.9.24-1build2                 amd64  Lightning Memory-Mapped Database shared library              OpenLDAP-2.8
ii  liblsan0:amd64                 12.3.0-1ubuntu1~22.04          amd64  LeakSanitizer -- a memory leak detector (runtime)            Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libltdl7:amd64                 2.4.6-15build2                 amd64  System independent dlopen wrapper for GNU libtool            GFDL GPL
ii  liblz4-1:amd64                 1.9.3-2build2                  amd64  Fast LZ compression algorithm library - runtime              BSD-2-clause GPL-2 GPL-2+
ii  liblzma-dev:amd64              5.2.5-2ubuntu1                 amd64  XZ-format compression library - development files            Autoconf GPL-2 GPL-2+ LGPL-2.1+ PD PD-debian config-h noderivs none permissive-fsf permissive-nowarranty probably-PD
ii  liblzma5:amd64                 5.2.5-2ubuntu1                 amd64  XZ-format compression library                                Autoconf GPL-2 GPL-2+ LGPL-2.1+ PD PD-debian config-h noderivs none permissive-fsf permissive-nowarranty probably-PD
ii  libmagic-mgc                   1:5.41-3ubuntu0.1              amd64  File type determination library using "magic" numbers (compi BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmagic1:amd64                1:5.41-3ubuntu0.1              amd64  Recognize the type of data in a file using "magic" numbers - BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmd-dev:amd64                1.0.4-1build1                  amd64  message digest functions from BSD systems - development file BSD-2-clause BSD-2-clause-NetBSD BSD-3-clause BSD-3-clause-Aaron-D-Gifford Beerware ISC public-domain-md4 public-domain-md5 public-domain-sha1
ii  libmd0:amd64                   1.0.4-1build1                  amd64  message digest functions from BSD systems - shared library   BSD-2-clause BSD-2-clause-NetBSD BSD-3-clause BSD-3-clause-Aaron-D-Gifford Beerware ISC public-domain-md4 public-domain-md5 public-domain-sha1
ii  libmfx1:amd64                  22.3.0-1                       amd64  Intel Media SDK -- shared library                            Apache-2.0 BSD-3-clause MIT NTP
ii  libmount1:amd64                2.37.2-4ubuntu3.4              amd64  device mounting library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libmp3lame0:amd64              3.100-3build2                  amd64  MP3 encoding library                                         BSD-3-clause GPL-1+ LGPL-2+ LGPL-2.1+ zlib/libpng
ii  libmpc3:amd64                  1.2.1-2build1                  amd64  multiple precision complex floating-point library            LGPL-3
ii  libmpdec3:amd64                2.5.1-2build2                  amd64  library for decimal floating point arithmetic (runtime libra BSD GPL-2+
ii  libmpfr6:amd64                 4.1.0-3build3                  amd64  multiple precision floating-point computation                GFDL-1.2 LGPL-3
ii  libmpg123-0:amd64              1.29.3-1ubuntu0.1              amd64  MPEG layer 1/2/3 audio decoder (shared library)              LGPL-2.1
ii  libmysofa1:amd64               1.2.1~dfsg0-1                  amd64  library to read HRTFs stored in the AES69-2015 SOFA format   BSD-3-clause CC-BY-4.0 CC-BY-SA-3.0 cipic listen-ircam mit-kemar
ii  libnccl-dev                    2.22.3-1+cuda12.6              amd64  NVIDIA Collective Communication Library (NCCL) Development F unknown
ii  libnccl2                       2.22.3-1+cuda12.6              amd64  NVIDIA Collective Communication Library (NCCL) Runtime       unknown
ii  libncurses-dev:amd64           6.3-2ubuntu0.1                 amd64  developer's libraries for ncurses                            BSD-3-clause MIT/X11 X11
ii  libncurses5:amd64              6.3-2ubuntu0.1                 amd64  shared libraries for terminal handling (legacy version)      BSD-3-clause MIT/X11 X11
ii  libncurses6:amd64              6.3-2ubuntu0.1                 amd64  shared libraries for terminal handling                       BSD-3-clause MIT/X11 X11
ii  libncursesw5:amd64             6.3-2ubuntu0.1                 amd64  shared libraries for terminal handling (wide character legac BSD-3-clause MIT/X11 X11
ii  libncursesw6:amd64             6.3-2ubuntu0.1                 amd64  shared libraries for terminal handling (wide character suppo BSD-3-clause MIT/X11 X11
ii  libnettle8:amd64               3.7.3-1build2                  amd64  low level cryptographic library (symmetric and one-way crypt Expat GAP GPL-2 GPL-2+ GPL-3+ GPL-3+ with Autoconf exception LGPL-2+ LGPL-3+ LGPL-3+ or GPL-2+ public-domain
ii  libnghttp2-14:amd64            1.43.0-1ubuntu0.2              amd64  library implementing HTTP/2 protocol (shared library)        BSD-2-clause Expat GPL-3+ with autoconf exception MIT SIL-OFL-1.1 all-permissive
ii  libnl-3-200:amd64              3.5.0-0.1                      amd64  library for dealing with netlink sockets                     GPL-2 LGPL-2.1
ii  libnl-3-dev:amd64              3.5.0-0.1                      amd64  development library and headers for libnl-3                  GPL-2 LGPL-2.1
ii  libnl-route-3-200:amd64        3.5.0-0.1                      amd64  library for dealing with netlink sockets - route interface   GPL-2 LGPL-2.1
ii  libnl-route-3-dev:amd64        3.5.0-0.1                      amd64  development library and headers for libnl-route-3            GPL-2 LGPL-2.1
ii  libnorm1:amd64                 1.5.9+dfsg-2                   amd64  NACK-Oriented Reliable Multicast (NORM) library              BSD-2-clause BSD-3-clause BSD-4-clause-UC NRL-2-clause NRL-3-clause
ii  libnpp-12-6                    12.3.1.54-1                    amd64  NPP native runtime libraries                                 "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libnpp-dev-12-6                12.3.1.54-1                    amd64  NPP native dev links, headers                                "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libnpth0:amd64                 1.6-3build2                    amd64  replacement for GNU Pth using system threads                 LGPL-2.1+
ii  libnsl-dev:amd64               1.3.0-2build2                  amd64  libnsl development files                                     BSD-3-clause GPL-2+-autoconf-exception GPL-2+-libtool-exception GPL-3+-autoconf-exception LGPL-2.1 LGPL-2.1+ MIT permissive-autoconf-m4 permissive-autoconf-m4-no-warranty permissive-configure permissive-fsf permissive-makefile-in
ii  libnsl2:amd64                  1.3.0-2build2                  amd64  Public client interface for NIS(YP) and NIS+                 BSD-3-clause GPL-2+-autoconf-exception GPL-2+-libtool-exception GPL-3+-autoconf-exception LGPL-2.1 LGPL-2.1+ MIT permissive-autoconf-m4 permissive-autoconf-m4-no-warranty permissive-configure permissive-fsf permissive-makefile-in
ii  libnuma-dev:amd64              2.0.14-3ubuntu2                amd64  Development files for libnuma                                GPL LGPL
ii  libnuma1:amd64                 2.0.14-3ubuntu2                amd64  Libraries for controlling NUMA policy                        GPL LGPL
ii  libnvjitlink-12-6              12.6.77-1                      amd64  NVJIT link native runtime libraries                          "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libnvjitlink-dev-12-6          12.6.77-1                      amd64  NVJIT native dev links, headers                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libnvjpeg-12-6                 12.3.3.54-1                    amd64  NVJPEG native runtime libraries                              "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libnvjpeg-dev-12-6             12.3.3.54-1                    amd64  NVJPEG native dev links, headers                             "BSD" LICENCE "BSD" License BSD License Boost Software License MIT License MIT license bsd-license.php
ii  libogg0:amd64                  1.3.5-0ubuntu3                 amd64  Ogg bitstream library                                        unknown
ii  libonig5:amd64                 6.9.7.1-2build1                amd64  regular expressions library                                  BSD-2-clause GPL-2+
ii  libopenal-data                 1:1.19.1-2build3               all    Software implementation of the OpenAL audio API (data files) Apache BSD-3-clause-cmake Expat GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libopenal1:amd64               1:1.19.1-2build3               amd64  Software implementation of the OpenAL audio API (shared libr Apache BSD-3-clause-cmake Expat GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libopencore-amrnb0:amd64       0.1.5-1                        amd64  Adaptive Multi Rate speech codec - shared library            Apache-2.0 GPL-3
ii  libopencore-amrwb0:amd64       0.1.5-1                        amd64  Adaptive Multi-Rate - Wideband speech codec - shared library Apache-2.0 GPL-3
ii  libopenjp2-7:amd64             2.4.0-6ubuntu0.2               amd64  JPEG 2000 image compression/decompression library            BSD-2 BSD-3 LIBPNG LIBTIFF LIBTIFF-GLARSON LIBTIFF-PIXAR MIT ZLIB public-domain
ii  libopenmpt0:amd64              0.6.1-1                        amd64  module music library based on OpenMPT -- shared library      BSD-3-clause BSD-3-clause or BSL-1.0 BSL-1.0 GNU-All-Permissive-License GNU-All-Permissive-License-FSF GPL-2+ with Autoconf exception GPL-2+ with LibTool exception GPL-3+ with AutoConf exception GPL-3+ with Autoconf Macros exception X11
ii  libopus0:amd64                 1.3.1-0.1build2                amd64  Opus codec runtime library                                   unknown
ii  libp11-kit0:amd64              0.24.0-6build1                 amd64  library for loading and coordinating access to PKCS#11 modul Apache-2.0 BSD-3-Clause ISC ISC+IBM LGPL-2.1+ permissive-like-automake-output same-as-rest-of-p11kit
ii  libpam-modules:amd64           1.4.0-11ubuntu2.4              amd64  Pluggable Authentication Modules for PAM                     GPL
ii  libpam-modules-bin             1.4.0-11ubuntu2.4              amd64  Pluggable Authentication Modules for PAM - helper binaries   GPL
ii  libpam-runtime                 1.4.0-11ubuntu2.4              all    Runtime support for the PAM library                          GPL
ii  libpam0g:amd64                 1.4.0-11ubuntu2.4              amd64  Pluggable Authentication Modules library                     GPL
ii  libpango-1.0-0:amd64           1.50.6+ds-2ubuntu1             amd64  Layout and rendering of internationalized text               Apache-2 Apache-2.0 Apache-2.0 or GPL-3.0+, Bitstream-Vera CC-BY-SA-3.0 CC-BY-SA-3.0, CC0-1.0 CC0-1.0, Chromium-BSD-style Example Expat GPL-2+ GPL-2+, GPL-3.0+ ICU LGPL-2+ LGPL-2+ or MPL-1.1 LGPL-2+, LGPL-2.1+ MPL-1.1 OFL-1.1 TCL Unicode
ii  libpangocairo-1.0-0:amd64      1.50.6+ds-2ubuntu1             amd64  Layout and rendering of internationalized text               Apache-2 Apache-2.0 Apache-2.0 or GPL-3.0+, Bitstream-Vera CC-BY-SA-3.0 CC-BY-SA-3.0, CC0-1.0 CC0-1.0, Chromium-BSD-style Example Expat GPL-2+ GPL-2+, GPL-3.0+ ICU LGPL-2+ LGPL-2+ or MPL-1.1 LGPL-2+, LGPL-2.1+ MPL-1.1 OFL-1.1 TCL Unicode
ii  libpangoft2-1.0-0:amd64        1.50.6+ds-2ubuntu1             amd64  Layout and rendering of internationalized text               Apache-2 Apache-2.0 Apache-2.0 or GPL-3.0+, Bitstream-Vera CC-BY-SA-3.0 CC-BY-SA-3.0, CC0-1.0 CC0-1.0, Chromium-BSD-style Example Expat GPL-2+ GPL-2+, GPL-3.0+ ICU LGPL-2+ LGPL-2+ or MPL-1.1 LGPL-2+, LGPL-2.1+ MPL-1.1 OFL-1.1 TCL Unicode
